cust_id,app_id,application_date,age,gender,city_tier,residence_type,income_monthly,employment_type,loan_amount_requested,channel,device_score,bureau_score,bureau_vintage_months,total_tradelines,active_tradelines,total_sanctioned
CUST100028,APP200028,19/05/24,27,M,3,Owned,36798,Salaried,90000,Online,0.5,771,88,5,4,184468
CUST100029,APP200029,28/06/24,41,F,3,Rented,43391,Salaried,95000,Referral,0.298,734,64,1,1,79339
CUST100030,APP200030,28/02/24,29,F,1,Rented,62995,Salaried,180000,Online,0.197,812,18,3,2,355813
CUST100031,APP200031,22/11/23,38,M,3,Rented,34186,Salaried,45000,Partner,0.068,676,76,8,6,501270
CUST100032,APP200032,21/06/23,24,M,2,Owned,67532,Salaried,130000,Partner,0.5,704,68,5,3,294537
CUST100033,APP200033,15/12/23,45,M,3,Family,10912,Salaried,10000,Partner,0.229,708,15,5,4,81967
CUST100034,APP200034,02/04/24,34,M,1,Owned,57756,Self-employed,15000,Partner,0.279,689,37,5,2,424945
CUST100035,APP200035,05/08/23,29,M,2,Owned,24521,Salaried,140000,Online,0.255,706,29,2,2,134141
CUST100036,APP200036,20/09/24,46,M,3,Owned,37529,Salaried,100000,Online,0.118,742,64,5,4,192055
CUST100037,APP200037,06/11/24,22,F,3,Family,24885,Salaried,95000,Partner,0.405,801,92,4,4,80204
CUST100038,APP200038,06/01/23,40,M,2,Rented,27332,Self-employed,95000,Online,0.254,836,28,9,9,428192
CUST100039,APP200039,12/08/24,48,M,2,Rented,44835,Salaried,185000,Online,0.811,677,9,3,2,91337
CUST100040,APP200040,17/09/24,27,M,1,Owned,41825,Salaried,75000,Online,0.091,677,108,5,4,300664
CUST100041,APP200041,05/05/23,28,F,2,Rented,34172,Salaried,30000,Online,0.551,719,83,5,4,224755
CUST100042,APP200042,26/06/24,55,M,2,Owned,16729,Salaried,5000,Online,0.444,677,115,6,6,135245
CUST100043,APP200043,25/11/23,34,M,1,Family,40660,Salaried,65000,Branch,0.391,,,0,0,0
CUST100044,APP200044,22/09/23,37,M,1,Rented,32655,Salaried,15000,Online,0.109,768,61,10,8,433724
CUST100045,APP200045,04/08/23,56,M,1,Rented,48376,Salaried,40000,Online,0.311,,,0,0,0
CUST100046,APP200046,01/05/23,24,M,2,Owned,52440,Salaried,115000,Online,0.175,,,0,0,0
CUST100047,APP200047,17/06/23,22,M,1,Rented,40134,Self-employed,140000,Referral,0.245,685,50,2,1,95767
CUST100048,APP200048,16/08/24,26,M,2,Rented,17331,Salaried,165000,Branch,0.299,689,60,6,4,88201
CUST100049,APP200049,19/09/23,24,M,1,Rented,21523,Salaried,170000,Branch,0.278,743,110,4,3,93381
CUST100050,APP200050,21/03/23,49,M,2,Rented,72415,Salaried,170000,Online,0.302,,,0,0,0
CUST100051,APP200051,14/03/23,38,F,2,Owned,49493,Salaried,125000,Online,0.139,697,74,5,3,329466
CUST100052,APP200052,23/10/23,46,M,2,Rented,103301,Salaried,5000,Online,0.086,,,0,0,0
CUST100053,APP200053,17/03/23,54,M,2,Family,75479,Salaried,35000,Online,0.099,,,1,1,61477
CUST100054,APP200054,06/10/23,30,M,2,Owned,28972,Salaried,190000,Online,0.534,699,35,2,1,72174
CUST100055,APP200055,20/10/24,56,M,1,Owned,69326,Salaried,140000,Online,0.081,645,45,4,1,619246
CUST100056,APP200056,25/09/23,34,F,3,Rented,34648,Salaried,85000,Referral,0.371,779,79,4,3,242187
CUST100057,APP200057,13/04/24,51,M,1,Owned,12781,Self-employed,190000,Partner,0.263,,,1,1,2991
CUST100058,APP200058,25/07/23,35,M,1,Owned,74288,Self-employed,150000,Online,0.236,816,105,6,6,434291
CUST100059,APP200059,18/09/24,28,M,2,Owned,147456,Self-employed,5000,Branch,0.651,693,88,3,3,496179
CUST100060,APP200060,03/02/23,34,F,1,Rented,68148,Salaried,140000,Online,0.215,,,0,0,0
CUST100061,APP200061,20/07/24,43,F,3,Owned,41246,Salaried,180000,Partner,0.276,691,95,3,3,241873
CUST100062,APP200062,23/12/23,41,M,1,Owned,60316,Self-employed,90000,Partner,0.775,778,22,4,1,204032
CUST100063,APP200063,21/02/24,36,M,2,Family,34407,Salaried,10000,Online,0.149,780,118,5,4,168840
CUST100064,APP200064,07/04/23,38,M,1,Rented,17867,Salaried,165000,Online,0.652,703,116,3,2,22479
CUST100065,APP200065,17/12/24,44,M,1,Rented,78728,Salaried,35000,Online,0.213,601,38,4,4,320353
CUST100066,APP200066,22/10/23,46,F,1,Owned,22946,Salaried,195000,Online,0.338,664,100,5,3,134539
CUST100067,APP200067,03/03/23,45,M,3,Owned,43275,Self-employed,90000,Online,0.359,713,6,4,4,100079
CUST100068,APP200068,04/03/24,49,M,3,Owned,76057,Self-employed,35000,Online,0.273,666,83,10,8,764013
CUST100069,APP200069,16/08/23,35,F,2,Family,27000,Salaried,20000,Branch,0.382,680,30,4,4,117555
CUST100070,APP200070,06/10/24,21,F,3,Rented,63653,Self-employed,85000,Online,0.176,,,0,0,0
CUST100071,APP200071,03/05/24,45,M,2,Owned,39661,Salaried,95000,Partner,0.419,695,99,3,3,157189
CUST100072,APP200072,25/04/24,27,F,3,Owned,47622,Salaried,25000,Online,0.257,689,103,3,2,183505
CUST100073,APP200073,18/11/24,29,M,3,Owned,46235,Salaried,195000,Branch,0.567,,,1,1,14976
CUST100074,APP200074,31/10/24,44,F,1,Rented,103763,Salaried,190000,Online,0.251,712,54,2,0,382182
CUST100075,APP200075,08/10/23,21,F,2,Owned,130821,Salaried,185000,Online,0.124,678,63,7,4,1180189
CUST100076,APP200076,24/03/24,28,M,2,Owned,7006,Salaried,65000,Online,0.113,677,108,8,7,62014
CUST100077,APP200077,30/05/23,44,F,1,Owned,99728,Self-employed,60000,Online,0.73,683,118,6,5,724768
CUST100078,APP200078,01/07/24,31,F,1,Owned,25091,Salaried,185000,Online,0.615,,,0,0,0
CUST100079,APP200079,24/02/23,37,M,3,Rented,13198,Salaried,20000,Partner,0.428,704,65,5,4,77172
CUST100080,APP200080,05/02/23,28,M,3,Owned,14542,Salaried,125000,Online,0.473,690,66,4,2,69978
CUST100081,APP200081,28/05/24,55,F,2,Owned,91213,Salaried,155000,Online,0.241,784,102,3,2,310914
CUST100082,APP200082,27/06/23,55,M,3,Rented,33470,Salaried,200000,Online,0.072,657,91,4,2,161854
CUST100083,APP200083,23/08/24,53,M,3,Owned,50443,Self-employed,75000,Online,0.427,656,21,5,2,218309
CUST100084,APP200084,13/08/23,25,F,1,Rented,57897,Salaried,140000,Online,0.164,671,10,5,3,350477
CUST100085,APP200085,03/03/23,48,F,1,Owned,13217,Salaried,55000,Online,0.663,749,36,4,3,51708
CUST100086,APP200086,26/10/24,27,M,1,Owned,50279,Salaried,145000,Online,0.442,708,105,4,2,257389
CUST100087,APP200087,30/06/23,29,M,1,Owned,74496,Salaried,25000,Branch,0.219,773,52,5,3,352407
CUST100088,APP200088,04/11/24,28,M,1,Owned,10539,Salaried,10000,Online,0.488,722,41,2,1,29124
CUST100089,APP200089,20/03/23,32,M,2,Family,58820,Salaried,100000,Online,0.167,728,8,4,3,204854
CUST100090,APP200090,23/10/23,54,M,3,Owned,74604,Self-employed,110000,Online,0.318,679,63,3,3,142530
CUST100091,APP200091,04/08/23,53,F,3,Owned,75162,Salaried,200000,Referral,0.552,707,84,6,4,417919
CUST100092,APP200092,19/12/23,43,M,2,Owned,37920,Salaried,135000,Online,0.632,733,56,6,3,234046
CUST100093,APP200093,08/05/24,44,M,3,Owned,9514,Salaried,105000,Online,0.114,,,1,1,47351
CUST100094,APP200094,09/10/24,57,M,2,Owned,62071,Salaried,100000,Online,0.176,813,92,5,5,341557
CUST100095,APP200095,11/10/23,55,F,3,Owned,9892,Salaried,160000,Online,0.318,699,84,3,2,61524
CUST100096,APP200096,07/05/23,42,M,2,Family,34289,Salaried,180000,Online,0.246,677,119,2,0,134839
CUST100097,APP200097,15/10/23,47,M,1,Owned,11284,Self-employed,15000,Partner,0.592,692,51,1,1,18411
CUST100098,APP200098,03/10/23,55,M,3,Rented,33571,Salaried,40000,Online,0.463,689,29,2,1,81515
CUST100099,APP200099,12/06/23,21,M,1,Owned,23008,Salaried,150000,Partner,0.571,716,80,6,5,169593
CUST100100,APP200100,04/06/24,55,M,2,Owned,45726,Salaried,20000,Online,0.307,749,118,1,1,13845
CUST100101,APP200101,27/07/23,57,M,1,Rented,55049,Salaried,35000,Online,0.397,,,0,0,0
CUST100102,APP200102,29/06/24,34,M,2,Rented,43393,Salaried,120000,Referral,0.125,,,0,0,0
CUST100103,APP200103,28/12/24,23,M,3,Owned,8238,Self-employed,45000,Online,0.128,676,62,5,5,62336
CUST100104,APP200104,14/06/24,21,M,1,Owned,134181,Salaried,170000,Online,0.295,744,118,3,2,391799
CUST100105,APP200105,18/05/24,25,M,3,Owned,15571,Salaried,175000,Online,0.288,,,0,0,0
CUST100106,APP200106,25/02/23,46,M,1,Owned,16237,Salaried,45000,Online,0.249,709,98,1,0,30009
CUST100107,APP200107,18/04/24,34,M,1,Family,16581,Salaried,195000,Partner,0.264,664,39,7,5,167249
CUST100108,APP200108,08/05/24,47,M,1,Rented,15456,Salaried,75000,Online,0.273,685,26,5,4,132095
CUST100109,APP200109,13/05/23,29,M,2,Family,90237,Salaried,60000,Branch,0.557,794,43,4,3,458649
CUST100110,APP200110,19/02/24,35,M,1,Owned,17495,Salaried,20000,Online,0.448,808,25,2,2,33258
CUST100111,APP200111,20/07/24,35,M,2,Rented,17175,Salaried,85000,Online,0.208,814,41,4,3,64397
CUST100112,APP200112,10/07/23,46,M,1,Owned,46679,Self-employed,45000,Online,0.099,697,30,5,4,299452
CUST100113,APP200113,07/05/23,33,M,1,Rented,30480,Salaried,155000,Branch,0.081,731,22,6,4,124967
CUST100114,APP200114,26/12/23,52,F,2,Owned,16601,Salaried,150000,Referral,0.296,,,0,0,0
CUST100115,APP200115,22/10/23,52,F,1,Rented,60413,Salaried,190000,Online,0.246,702,9,6,4,544927
CUST100116,APP200116,29/07/23,24,M,1,Owned,73031,Salaried,90000,Online,0.453,701,65,6,3,861661
CUST100117,APP200117,19/12/24,50,M,1,Rented,92389,Salaried,105000,Branch,0.301,,,0,0,0
CUST100118,APP200118,12/05/24,57,M,2,Rented,56857,Salaried,85000,Online,0.143,828,43,11,10,700993
CUST100119,APP200119,18/06/24,43,M,2,Rented,63631,Salaried,175000,Online,0.39,,,0,0,0
CUST100120,APP200120,08/03/24,35,M,1,Owned,20020,Self-employed,85000,Branch,0.295,740,115,1,0,14694
CUST100121,APP200121,20/06/23,49,F,1,Rented,23979,Salaried,85000,Referral,0.081,674,101,2,1,43981
CUST100122,APP200122,15/06/24,56,M,1,Owned,38174,Self-employed,125000,Online,0.239,694,80,7,3,313687
CUST100123,APP200123,09/09/23,33,F,1,Owned,70324,Self-employed,65000,Online,0.305,748,56,1,0,127126
CUST100124,APP200124,16/10/24,52,M,3,Owned,32450,Salaried,120000,Branch,0.37,795,105,4,2,168402
CUST100125,APP200125,19/08/24,27,F,2,Family,25099,Salaried,75000,Online,0.192,699,9,6,4,141669
CUST100126,APP200126,25/08/24,42,F,2,Family,32077,Salaried,105000,Online,0.217,747,86,3,3,66505
CUST100127,APP200127,13/02/23,48,M,1,Owned,69402,Salaried,60000,Online,0.036,,,0,0,0
CUST100128,APP200128,27/06/23,22,M,2,Family,30927,Salaried,70000,Branch,0.408,686,58,2,1,49315
CUST100129,APP200129,30/09/24,26,M,3,Family,11629,Salaried,140000,Online,0.135,728,69,2,1,17348
CUST100130,APP200130,25/01/23,48,M,2,Owned,105642,Self-employed,125000,Online,0.708,,,0,0,0
CUST100131,APP200131,17/09/24,48,M,2,Rented,41258,Salaried,140000,Online,0.21,665,7,10,9,590851
CUST100132,APP200132,03/09/23,40,M,2,Family,27922,Salaried,155000,Branch,0.04,715,110,5,5,254953
CUST100133,APP200133,08/11/23,50,M,2,Owned,25849,Salaried,180000,Partner,0.719,,,0,0,0
CUST100134,APP200134,27/07/23,31,F,1,Owned,24339,Salaried,80000,Partner,0.381,666,53,4,2,155914
CUST100135,APP200135,21/02/23,48,M,2,Rented,92371,Self-employed,200000,Partner,0.208,718,65,7,4,668011
CUST100136,APP200136,13/06/23,45,F,1,Owned,36194,Salaried,145000,Partner,0.323,755,39,3,2,150577
CUST100137,APP200137,10/12/24,53,M,2,Owned,44470,Salaried,55000,Online,0.265,659,110,4,4,230108
CUST100138,APP200138,16/03/24,21,F,3,Rented,10440,Self-employed,130000,Branch,0.507,689,42,3,3,52411
CUST100139,APP200139,11/11/24,47,M,3,Owned,125843,Self-employed,135000,Partner,0.385,677,12,4,4,714637
CUST100140,APP200140,11/07/24,33,M,2,Rented,38427,Salaried,150000,Partner,0.348,673,110,5,4,119205
CUST100141,APP200141,02/09/23,23,F,1,Owned,57845,Self-employed,185000,Partner,0.169,,,1,0,96991
CUST100142,APP200142,15/06/23,26,M,1,Owned,57926,Salaried,15000,Online,0.232,756,35,3,3,137528
CUST100143,APP200143,24/05/24,28,F,2,Rented,30569,Salaried,50000,Online,0.148,800,33,1,0,56868
CUST100144,APP200144,23/01/24,47,M,3,Rented,34233,Salaried,160000,Online,0.435,702,57,5,4,84009
CUST100145,APP200145,04/11/23,29,M,2,Family,54918,Salaried,25000,Online,0.078,789,105,4,3,199909
CUST100146,APP200146,18/11/24,57,M,1,Rented,78395,Salaried,45000,Online,0.453,,,0,0,0
CUST100147,APP200147,11/12/24,53,F,3,Rented,22578,Self-employed,130000,Partner,0.308,,,1,0,19263
CUST100148,APP200148,14/05/24,44,M,3,Owned,90070,Salaried,175000,Partner,0.309,794,30,4,2,490080
CUST100149,APP200149,23/12/23,35,F,1,Rented,93020,Self-employed,25000,Branch,0.351,676,101,8,7,986799
CUST100150,APP200150,21/04/23,52,F,2,Owned,11571,Salaried,80000,Partner,0.424,,,0,0,0
CUST100151,APP200151,25/07/23,52,M,2,Owned,47134,Salaried,65000,Online,0.344,664,94,4,4,243206
CUST100152,APP200152,19/04/23,44,M,2,Owned,16776,Salaried,150000,Online,0.215,789,11,2,2,24899
CUST100153,APP200153,11/07/23,32,F,3,Owned,37028,Salaried,55000,Online,0.372,770,67,1,1,24046
CUST100154,APP200154,01/08/24,22,M,1,Owned,53778,Salaried,150000,Branch,0.396,,,0,0,0
CUST100155,APP200155,12/03/24,23,M,2,Owned,52921,Salaried,105000,Online,0.307,760,54,3,1,350726
CUST100156,APP200156,23/02/24,57,M,2,Owned,69538,Salaried,20000,Partner,0.06,699,29,5,3,286801
CUST100157,APP200157,24/07/23,37,M,3,Owned,129668,Self-employed,85000,Online,0.703,709,28,5,2,849972
CUST100158,APP200158,03/08/24,22,M,3,Owned,11597,Salaried,165000,Online,0.407,703,73,3,1,23865
CUST100159,APP200159,30/03/24,22,M,3,Owned,82852,Salaried,155000,Partner,0.759,716,15,8,8,941147
CUST100160,APP200160,29/11/23,48,F,2,Owned,10005,Salaried,30000,Partner,0.398,801,49,2,2,25472
CUST100161,APP200161,28/11/24,43,M,3,Owned,30568,Salaried,165000,Online,0.238,693,23,4,4,261670
CUST100162,APP200162,29/03/24,57,M,1,Owned,31063,Self-employed,195000,Branch,0.385,752,108,5,3,174305
CUST100163,APP200163,07/11/23,52,O,1,Owned,35475,Salaried,135000,Partner,0.191,,,0,0,0
CUST100164,APP200164,09/10/23,53,F,1,Family,41828,Self-employed,125000,Partner,0.125,809,19,2,2,177335
CUST100165,APP200165,20/06/23,21,F,3,Owned,43290,Salaried,95000,Online,0.311,726,72,2,1,91162
CUST100166,APP200166,18/04/23,39,M,3,Rented,64694,Salaried,10000,Online,0.206,721,34,4,3,268065
CUST100167,APP200167,31/01/24,22,F,1,Owned,57992,Self-employed,5000,Branch,0.223,676,28,3,2,125767
CUST100168,APP200168,19/01/24,46,M,1,Owned,61384,Self-employed,70000,Partner,0.038,739,82,4,3,228911
CUST100169,APP200169,12/03/23,52,M,3,Owned,29457,Self-employed,75000,Branch,0.53,756,93,2,0,124283
CUST100170,APP200170,10/08/24,26,M,2,Owned,38347,Salaried,110000,Online,0.656,840,44,3,1,214792
CUST100171,APP200171,06/02/23,52,M,3,Owned,51691,Salaried,85000,Referral,0.701,744,56,5,4,98713
CUST100172,APP200172,30/10/24,24,F,1,Rented,42076,Salaried,160000,Online,0.207,800,113,5,4,192580
CUST100173,APP200173,27/03/23,31,M,1,Rented,36611,Self-employed,165000,Online,0.094,724,64,2,1,84704
CUST100174,APP200174,29/04/23,37,F,2,Owned,41435,Self-employed,5000,Online,0.287,698,101,2,1,40478
CUST100175,APP200175,02/05/24,44,F,1,Owned,48246,Salaried,95000,Referral,0.166,,,0,0,0
CUST100176,APP200176,05/05/23,25,M,1,Owned,66987,Salaried,190000,Online,0.091,693,108,5,4,417976
CUST100177,APP200177,07/09/24,54,M,1,Owned,22486,Salaried,175000,Online,0.12,639,39,4,2,195668
CUST100178,APP200178,12/06/24,26,M,1,Rented,39489,Salaried,20000,Online,0.053,690,26,2,2,106588
CUST100179,APP200179,24/11/23,42,M,1,Family,47966,Salaried,55000,Online,0.596,711,24,7,4,491861
CUST100180,APP200180,08/04/24,31,M,3,Owned,24367,Salaried,15000,Partner,0.273,712,87,5,4,121170
CUST100181,APP200181,19/02/23,36,O,1,Rented,41709,Self-employed,10000,Branch,0.393,,,0,0,0
CUST100182,APP200182,26/10/23,53,M,1,Rented,11359,Salaried,180000,Online,0.869,748,39,6,4,72459
CUST100183,APP200183,24/10/23,29,M,3,Rented,40253,Salaried,115000,Online,0.329,793,81,7,5,485432
CUST100184,APP200184,07/04/24,26,F,2,Owned,46764,Salaried,55000,Online,0.241,,,1,0,80817
CUST100185,APP200185,30/12/23,36,M,2,Owned,104930,Salaried,175000,Online,0.425,766,50,5,3,638261
CUST100186,APP200186,15/02/24,49,F,2,Rented,38639,Salaried,145000,Branch,0.242,666,35,8,6,345284
CUST100187,APP200187,15/07/23,23,M,3,Rented,12211,Self-employed,35000,Online,0.268,652,70,2,1,36644
CUST100188,APP200188,05/03/24,40,M,3,Family,21311,Salaried,95000,Referral,0.384,791,43,2,1,55968
CUST100189,APP200189,30/10/24,56,M,2,Rented,21665,Salaried,30000,Online,0.14,682,60,8,4,269118
CUST100190,APP200190,09/01/23,39,M,3,Owned,14073,Salaried,125000,Online,0.149,727,43,6,4,87758
CUST100191,APP200191,12/06/24,46,M,2,Family,96754,Salaried,80000,Online,0.156,675,60,2,2,360174
CUST100192,APP200192,13/07/24,23,F,1,Owned,12326,Salaried,115000,Branch,0.507,825,108,4,4,39276
CUST100193,APP200193,30/03/23,39,M,3,Owned,13081,Salaried,55000,Online,0.42,707,91,4,2,90492
CUST100194,APP200194,13/06/24,40,F,2,Rented,118920,Salaried,165000,Online,0.427,678,44,5,3,851570
CUST100195,APP200195,18/11/24,52,M,3,Owned,25564,Salaried,40000,Partner,0.591,660,59,10,6,312511
CUST100196,APP200196,22/02/24,27,M,1,Family,9295,Salaried,180000,Online,0.02,758,52,5,4,27051
CUST100197,APP200197,06/08/24,53,M,1,Owned,30128,Self-employed,125000,Partner,0.374,657,19,2,1,106429
CUST100198,APP200198,27/07/23,38,F,3,Owned,95490,Salaried,175000,Online,0.266,687,109,4,4,533737
CUST100199,APP200199,19/08/24,21,M,1,Owned,35844,Salaried,65000,Online,0.051,723,31,6,2,193841
CUST100200,APP200200,12/05/24,31,M,3,Rented,41942,Salaried,30000,Branch,0.774,720,31,2,0,25369
CUST100201,APP200201,22/09/23,48,F,3,Owned,19227,Salaried,175000,Online,0.365,728,81,4,2,131135
CUST100202,APP200202,28/03/23,45,M,3,Owned,42189,Salaried,195000,Branch,0.041,720,103,6,3,450413
CUST100203,APP200203,16/08/23,43,F,2,Rented,20855,Self-employed,20000,Online,0.437,,,0,0,0
CUST100204,APP200204,04/12/23,51,M,2,Owned,43297,Salaried,80000,Partner,0.516,741,86,1,0,35389
CUST100205,APP200205,03/05/23,50,F,3,Owned,48844,Salaried,55000,Online,0.364,,,0,0,0
CUST100206,APP200206,19/12/23,55,F,2,Rented,42491,Self-employed,120000,Online,0.265,710,87,3,2,129464
CUST100207,APP200207,03/01/23,27,F,2,Owned,27493,Salaried,70000,Partner,0.248,669,52,7,7,258056
CUST100208,APP200208,14/07/24,36,M,3,Family,17461,Salaried,200000,Partner,0.584,707,6,4,4,104479
CUST100209,APP200209,11/11/24,46,M,2,Owned,12397,Salaried,40000,Online,0.467,692,33,1,1,29026
CUST100210,APP200210,12/07/24,22,F,3,Owned,63411,Salaried,150000,Online,0.462,640,105,2,2,104829
CUST100211,APP200211,24/07/23,21,M,1,Owned,14111,Salaried,155000,Online,0.319,686,93,5,5,108771
CUST100212,APP200212,24/01/24,32,M,1,Owned,17686,Salaried,30000,Online,0.094,634,51,5,3,81043
CUST100213,APP200213,14/08/24,25,F,2,Rented,63704,Salaried,120000,Online,0.632,722,85,5,5,506758
CUST100214,APP200214,19/05/23,57,M,1,Rented,38602,Salaried,5000,Partner,0.729,710,33,2,2,131332
CUST100215,APP200215,30/01/24,52,M,2,Owned,61085,Salaried,190000,Branch,0.549,,,1,0,45205
CUST100216,APP200216,09/12/24,29,M,1,Owned,17537,Salaried,105000,Online,0.213,753,28,3,2,100815
CUST100217,APP200217,24/03/23,55,M,3,Owned,29731,Salaried,30000,Online,0.203,702,53,4,4,198171
CUST100218,APP200218,07/11/24,39,M,1,Rented,19375,Salaried,75000,Branch,0.461,786,6,3,3,53189
CUST100219,APP200219,30/04/24,36,F,1,Rented,73269,Salaried,160000,Online,0.23,664,75,5,2,367400
CUST100220,APP200220,20/08/23,23,M,1,Owned,6000,Salaried,90000,Partner,0.232,706,56,9,6,97794
CUST100221,APP200221,15/10/24,40,F,2,Owned,93980,Salaried,160000,Online,0.519,705,84,2,0,236417
CUST100222,APP200222,11/05/24,44,F,1,Rented,18387,Salaried,60000,Partner,0.313,671,40,6,5,83755
CUST100223,APP200223,30/01/24,53,M,1,Rented,111758,Salaried,55000,Online,0.563,,,0,0,0
CUST100224,APP200224,18/04/24,44,M,2,Owned,6658,Salaried,170000,Online,0.328,,,1,1,1448
CUST100225,APP200225,04/06/23,31,F,1,Owned,55411,Self-employed,10000,Partner,0.057,671,82,2,2,250947
CUST100226,APP200226,29/04/23,28,M,1,Family,57621,Salaried,110000,Branch,0.1,,,1,0,93902
CUST100227,APP200227,18/10/23,56,M,2,Rented,34993,Self-employed,105000,Online,0.384,723,55,2,1,126651
CUST100228,APP200228,15/08/24,40,F,1,Owned,16753,Self-employed,30000,Online,0.288,802,114,2,1,39269
CUST100229,APP200229,06/05/23,55,M,1,Owned,14987,Self-employed,30000,Online,0.265,689,108,6,3,135353
CUST100230,APP200230,23/02/24,45,F,1,Family,9085,Self-employed,60000,Branch,0.293,778,86,1,1,5530
CUST100231,APP200231,27/08/24,55,M,1,Rented,48441,Salaried,20000,Branch,0.764,711,23,9,5,441990
CUST100232,APP200232,17/12/24,45,F,2,Rented,109159,Salaried,35000,Online,0.393,718,101,4,3,840575
CUST100233,APP200233,16/02/24,49,M,1,Owned,26844,Salaried,60000,Online,0.217,719,76,5,2,106719
CUST100234,APP200234,14/12/24,38,F,3,Rented,89552,Salaried,150000,Online,0.218,,,1,1,27344
CUST100235,APP200235,01/01/23,38,M,3,Rented,47037,Salaried,45000,Online,0.696,678,54,7,3,484344
CUST100236,APP200236,10/04/24,22,M,1,Owned,23766,Salaried,35000,Online,0.078,737,67,1,1,8868
CUST100237,APP200237,09/09/23,55,M,3,Owned,68455,Salaried,110000,Online,0.133,,,0,0,0
CUST100238,APP200238,15/01/24,36,M,1,Owned,22574,Salaried,135000,Online,0.091,761,13,3,2,102729
CUST100239,APP200239,16/01/23,56,M,1,Rented,16397,Salaried,175000,Online,0.308,729,64,6,5,175296
CUST100240,APP200240,28/03/23,53,M,1,Rented,53337,Salaried,190000,Partner,0.127,,,0,0,0
CUST100241,APP200241,22/12/24,24,M,1,Owned,32496,Salaried,120000,Branch,0.15,741,66,5,5,193763
CUST100242,APP200242,09/10/23,53,M,2,Owned,43022,Self-employed,70000,Branch,0.117,,,0,0,0
CUST100243,APP200243,13/11/24,34,M,1,Owned,8671,Self-employed,200000,Partner,0.334,813,38,3,2,24789
CUST100244,APP200244,07/10/24,41,F,3,Owned,13288,Self-employed,180000,Referral,0.055,758,112,4,2,50376
CUST100245,APP200245,18/09/24,40,F,2,Owned,67887,Salaried,65000,Online,0.245,,,0,0,0
